Year,Model,Price,Exterior_Color,Drivetrain,Fuel_Type,Engine,Mileage,Seller_Type
2012,Accord LX-P,"$11,750 ",Silver,FWD,Gasoline,1.8L ,USB,Individual
2020,Civic Si Base,"$27,900 ",Red,FWD,Gasoline,2.4L,Apple,Individual
2007,Element LX,"$7,900 ",Red,FWD,Gasoline,V6 Cylinder Engine,Premium,Individual
2009,Civic GX,"$7,997 ",White,FWD,Gasoline,1.8L ,86981,Dealer
2017,HR-V EX,"$20,999 ",Blue,AWD,Gasoline,3.5L,BluetoothUSB,Individual
2023,Civic Sport Touring,"$31,999 ",Blue,FWD,Gasoline,1.5L,381,Dealer
2023,CR-V EX-L,"$35,005 ",Black,FWD,Gasoline,1.5L,4,Dealer
2023,CR-V EX-L,"$35,400 ",Black,FWD,Gasoline,1.5L,5,Dealer
2023,Civic EX,"$28,535 ",Blue,FWD,Gasoline,1.5L,5,Dealer
2023,Civic Sport Touring,"$33,035 ",White,FWD,Gasoline,1.5L,5,Dealer
2023,CR-V EX-L,"$35,400 ",White,FWD,Gasoline,1.5L,8,Dealer
2023,Civic EX-L,"$28,845 ",Silver,FWD,Gasoline,1.5L,5,Dealer
2023,CR-V EX,"$34,250 ",Red,AWD,Gasoline,1.5L,11,Dealer
2023,CR-V EX-L,"$36,900 ",Red,AWD,Gasoline,1.5L,42,Dealer
2023,CR-V EX-L,"$36,505 ",Silver,AWD,Gasoline,1.5L,10,Dealer
2023,Accord EX,"$30,705 ",Black,FWD,Gasoline,1.5L,–,Dealer
2023,Accord EX,"$30,705 ",Blue,FWD,Gasoline,1.5L,–,Dealer
2023,Accord EX,"$30,705 ",Silver,FWD,Gasoline,1.5L,10,Dealer
2023,CR-V EX-L,"$35,400 ",Silver,FWD,Gasoline,1.5L,6,Dealer
2023,CR-V EX-L,"$35,400 ",White,FWD,Gasoline,1.5L,10,Dealer
2023,Civic Sport Touring,"$32,500 ",White,FWD,Gasoline,1.5L,3,Dealer
2023,Accord LX,"$28,390 ",Yellow,FWD,Gasoline,1.5L,10,Dealer
2023,Accord EX,"$31,160 ",Red,FWD,Gasoline,1.5L,–,Dealer
